,Season,Tm,log(PER * MP)
0,2012-2013,ATL,12.73358991520101
1,2012-2013,BOS,12.726382229602969
2,2012-2013,BRK,12.824625842955474
3,2012-2013,CHA,12.662517810595789
4,2012-2013,CHI,12.752982260186666
5,2012-2013,CLE,12.665929941760067
6,2012-2013,DAL,12.764612664850135
7,2012-2013,DEN,12.897716258993146
8,2012-2013,DET,12.698178617317183
9,2012-2013,GSW,12.774622480139108
10,2012-2013,HOU,12.786390256164305
11,2012-2013,IND,12.762690294915265
12,2012-2013,LAC,12.883564540228253
13,2012-2013,LAL,12.819326387760652
14,2012-2013,MEM,12.773569967059796
15,2012-2013,MIA,12.92921571561061
16,2012-2013,MIL,12.752613622050555
17,2012-2013,MIN,12.71117726681852
18,2012-2013,NOH,12.75237729463406
19,2012-2013,NYK,12.807850061729797
20,2012-2013,OKC,12.927229790404654
21,2012-2013,ORL,12.618814217760395
22,2012-2013,PHI,12.727997507561904
23,2012-2013,PHO,12.685507963197303
24,2012-2013,POR,12.74239434642077
25,2012-2013,SAC,12.701406025686858
26,2012-2013,SAS,12.82421266570479
27,2012-2013,TOR,12.712553846949671
28,2012-2013,UTA,12.81801436826497
29,2012-2013,WAS,12.621202586199136
30,2013-2014,ATL,12.753834563777213
31,2013-2014,BOS,12.641384732843722
32,2013-2014,BRK,12.705425470008144
33,2013-2014,CHA,12.715487293395823
34,2013-2014,CHI,12.739483321404993
35,2013-2014,CLE,12.692549261416607
36,2013-2014,DAL,12.88302897988349
37,2013-2014,DEN,12.697085927149267
38,2013-2014,DET,12.779819701816095
39,2013-2014,GSW,12.804108969046958
40,2013-2014,HOU,12.854069579236688
41,2013-2014,IND,12.717810584916673
42,2013-2014,LAC,12.866672448151366
43,2013-2014,LAL,12.618395552069138
44,2013-2014,MEM,12.767595622311116
45,2013-2014,MIA,12.867850757614496
46,2013-2014,MIL,12.56161843036202
47,2013-2014,MIN,12.795584102735258
48,2013-2014,NOP,12.750421921577109
49,2013-2014,NYK,12.757441964177541
50,2013-2014,OKC,12.868670840988315
51,2013-2014,ORL,12.694006613181816
52,2013-2014,PHI,12.5826348311171
53,2013-2014,PHO,12.82674243800339
54,2013-2014,POR,12.848771221106821
55,2013-2014,SAC,12.658830149248704
56,2013-2014,SAS,12.852057199694002
57,2013-2014,TOR,12.780557795520332
58,2013-2014,UTA,12.702289696136404
59,2013-2014,WAS,12.760926021940383
60,2014-2015,ATL,12.817424082226808
61,2014-2015,BOS,12.62276888883476
62,2014-2015,BRK,12.689191499947288
63,2014-2015,CHI,12.810312636041449
64,2014-2015,CHO,12.627107314495596
65,2014-2015,CLE,12.792707107527693
66,2014-2015,DAL,12.76876397026761
67,2014-2015,DEN,12.604344924741007
68,2014-2015,DET,12.689812970820984
69,2014-2015,GSW,12.895812697118476
70,2014-2015,HOU,12.736898976798606
71,2014-2015,IND,12.66767876044777
72,2014-2015,LAC,12.86400038935142
73,2014-2015,LAL,12.648185030006749
74,2014-2015,MEM,12.762905470074884
75,2014-2015,MIA,12.629321969588874
76,2014-2015,MIL,12.687920702244785
77,2014-2015,MIN,12.528480629207154
78,2014-2015,NOP,12.795310491416553
79,2014-2015,NYK,12.401704661962144
80,2014-2015,OKC,12.692481953148665
81,2014-2015,ORL,12.649260301942634
82,2014-2015,PHI,12.414318563893088
83,2014-2015,PHO,12.742883821284805
84,2014-2015,POR,12.75378075973516
85,2014-2015,SAC,12.682342939518286
86,2014-2015,SAS,12.820225478160923
87,2014-2015,TOR,12.851273863674862
88,2014-2015,UTA,12.746680974629525
89,2014-2015,WAS,12.716820920650814
90,2015-2016,ATL,12.693985495728095
91,2015-2016,BOS,12.707420352545054
92,2015-2016,BRK,12.555104176741763
93,2015-2016,CHI,12.63828837958442
94,2015-2016,CHO,12.69843534819003
95,2015-2016,CLE,12.744725048778497
96,2015-2016,DAL,12.650730766149017
97,2015-2016,DEN,12.629744801055134
98,2015-2016,DET,12.667753694043931
99,2015-2016,GSW,12.844682560808343
100,2015-2016,HOU,12.693308215429552
101,2015-2016,IND,12.684967658608754
102,2015-2016,LAC,12.719495511806159
103,2015-2016,LAL,12.535256279304628
104,2015-2016,MEM,12.591692513484505
105,2015-2016,MIA,12.724169262365116
106,2015-2016,MIL,12.687764952841611
107,2015-2016,MIN,12.698770449229322
108,2015-2016,NOP,12.565510515849208
109,2015-2016,NYK,12.672387683975655
110,2015-2016,OKC,12.818595039122341
111,2015-2016,ORL,12.642535120349079
112,2015-2016,PHI,12.523274960425397
113,2015-2016,PHO,12.5312881606154
114,2015-2016,POR,12.718006997378353
115,2015-2016,SAC,12.703489373215685
116,2015-2016,SAS,12.79267904037434
117,2015-2016,TOR,12.767476654288785
118,2015-2016,UTA,12.66972802438646
119,2015-2016,WAS,12.645583242238882
120,2016-2017,ATL,12.655961384077276
121,2016-2017,BOS,12.76515044594157
122,2016-2017,BRK,12.532677624476516
123,2016-2017,CHI,12.709219680511213
124,2016-2017,CHO,12.753577941123497
125,2016-2017,CLE,12.767768822908458
126,2016-2017,DAL,12.593418243261054
127,2016-2017,DEN,12.763539552328591
128,2016-2017,DET,12.69254298055848
129,2016-2017,GSW,12.883061253639609
130,2016-2017,HOU,12.819620673620735
131,2016-2017,IND,12.763401449926373
132,2016-2017,LAC,12.818000553219887
133,2016-2017,LAL,12.61603414672439
134,2016-2017,MEM,12.676310323414139
135,2016-2017,MIA,12.721874007138558
136,2016-2017,MIL,12.752423202423019
137,2016-2017,MIN,12.796130348258895
138,2016-2017,NOP,12.622856136167577
139,2016-2017,NYK,12.707868512909972
140,2016-2017,OKC,12.705148739340526
141,2016-2017,ORL,12.653773636292671
142,2016-2017,PHI,12.554380920905551
143,2016-2017,PHO,12.662637924924963
144,2016-2017,POR,12.761994923231315
145,2016-2017,SAC,12.611342205087933
146,2016-2017,SAS,12.817359614417992
147,2016-2017,TOR,12.785542316422076
148,2016-2017,UTA,12.738282529341875
149,2016-2017,WAS,12.780677681691225
150,2017-2018,ATL,12.565230840424485
151,2017-2018,BOS,12.680526537504967
152,2017-2018,BRK,12.616575944287531
153,2017-2018,CHI,12.566726039333028
154,2017-2018,CHO,12.730101213072567
155,2017-2018,CLE,12.671432855582282
156,2017-2018,DAL,12.634424644366982
157,2017-2018,DEN,12.788102834338044
